LON,LAT,EDO,CLAVE,ESTACION,mar-22
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",0.0
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",0.0
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",0.0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0.0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0.0
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",0.0
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",0.0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0.0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0.0
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",0.0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",0.0
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",0.0
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",0.0
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",0.0
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",0.0
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",0.0
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",0.0
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",36.7
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",0.8
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",42.7
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",1.8
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",50.8
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",36.7
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",41.1
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",12.2
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0.0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",39.1
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.3
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0.6
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",1.0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",30.0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.6
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",42.6
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",32.6
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",26.8
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",46.0
-114.828611,30.993056,BC,SANFELIPEmar,"San Felipe, B.C. SEMAR*",0.0
-114.834444,31.028056,BC,SFELIPEob,"Observatorio de San Felipe, B.C. SMN*",0.0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0.0
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",9.4
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",35.4
