LON,LAT,EDO,CLAVE,ESTACION,jul-22,,
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",0.01,,
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",0.00,,
-102.037778,26.990278,COAH,CUATROCIENEGAS,"Cuatro CiÈnegas, Coah. SMN*",1.60,,
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",2.00,,
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",17.31,,
-100.920833,25.436111,COAH,ESLCL,"SecretarÌa de Agricultura Saltillo, Coah.",41.11,,
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",2.02,,
-100.833333,28.823056,COAH,LAFRAGUA,"La Fragua, Coah. SGT*",8.50,,
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas. Ciudad AcuÒa, Coah. CILA*",10.20,,
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",15.01,,
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",0.52,,
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",16.01,,
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",7.60,,
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",80.10,,
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",0.00,,
-100.556944,28.667778,COAH,RIOESCONDIDOC,"RÌo Escondido Villa De Fuentes, Coah. CILA*",68.30,,
-100.634444,28.898611,COAH,RioSanRodrigoC,"RÌo San Rodrigo cerca El Moral, Piedras Negras Coah., CILA*",12.50,,
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",33.60,,
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",40.00,,
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego JimÈnez, Coah. CILA*",16.00,,
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",52.50,,
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0.00,,
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0.05,,
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",35.02,,
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",2.81,,
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",7.00,,
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",7.02,,
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",287.03,,
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",70.86,,
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",181.91,,
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",137.25,,
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",336.30,,
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",186.71,,
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",189.80,,
-103.884444,19.111389,COL,DJLCM,"Presa derivadora Jala, Col.",151.41,,
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",37.33,,
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",86.60,,
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",78.19,,
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",227.40,,
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",62.93,,
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",32.79,,
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",44.31,,
-103.8125,19.3275,COL,PNTCM,"PeÒitas, Col.",229.20,,
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",59.72,,
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",530.00,,
-103.867778,18.911667,COL,TCMCM,"Tecom·n, Col.",141.02,,
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",191.55,,
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",191.51,,
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de MÈx. UNAM*",195.47,,
-99.08,19.465833,DF,ARAGON,"Conagua AragÛn, Cd. de MÈx. UNAM*",70.25,,
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de MÈx. UNAM*",83.95,,
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de MÈx. UNAM*",112.40,,
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",53.71,,
-99.171667,19.453333,DF,CBIOLOGIPN,"Eescuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. OCAVM*",50.60,,
-99.059722,19.383889,DF,CCHOTE,"Colegio de Ciencias y Humanidades Oriente, Cd. de MÈx. UNAM*",116.69,,
-99.140833,19.483333,DF,CCHVALLEJO,"Colegio de Ciencias y Humanidades Vallejo, Cd. de MÈx. UNAM*",89.40,,
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de MÈx.",244.14,,
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",110.99,,
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",109.97,,
