LON,LAT,EDO,CLAVE,ESTACION,nov-22
-93.457778,17.445,CHIS,PENITASCFE,"PeÒitas, Chis. CFE*",354.71
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",26.4
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",72.4
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",79.4
-93.551667,17.353889,CHIS,RCALZADACFE,"RÛmulo Calzada, Chis. CFE*",152.9
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",95.3
-93.356111,17.883056,CHIS,REFORMA,"Reforma, Chis. SGT*",130.4
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",662.8
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",77.4
-93.102778,17.4975,CHIS,RIOJANEIRO,"RÌo de Janeiro SGT, Chis.",615.8
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",360.6
-93.128889,16.790278,CHIS,SANJUANSEMIN,"San Juan Seminario, Chis. SGT*",48.7
-92.239167,15.776667,CHIS,SANMIGUELCFE,"San Miguel, Chis. CFE*",88.92
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",5.8
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",743.1
-92.603056,16.727222,CHIS,SCCASASCFE,"San CristÛbal de las Casas, Chis. CFE*",51.8
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",82.6
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",77.2
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",36.6
-93.1,16.786111,CHIS,SECTEC103,"Secundaria TÈcnica 103, Chis. SGT*",18.3
-93.133889,16.747222,CHIS,SECTEC59,"Secundaria TÈcnica 59, Chis. SGT*",13.4
-92.951389,15.872778,CHIS,SFRANCISCOII,"San Francisco 2, Chis. SGT*",91.8
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",176.8
-93.085,17.561111,CHIS,SJOCP,"San JoaquÌn, Chis.",490.6
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",89.5
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",38.4
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",79.6
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",149.5
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SGT*",93.7
-93.034167,16.742778,CHIS,SUMIDEROCFE,"CaÒÛn del Sumidero, Chis. CFE*",9.5
-93.244722,17.494167,CHIS,SUNUAPA,"Sunuapa, Chis. SGT*",617.7
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",205.3
-92.426389,17.300278,CHIS,TILA,"Tila, Chis. SGT*",211.8
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",39.2
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",11.2
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",41.8
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",14.4
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",34.7
-93.086667,16.755278,CHIS,TXCCP,"Tuxtla GutiÈrrez CFE, Chis.",26.2
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",10.2
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",556.8
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",25.3
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",51.81
-93.248056,16.253889,CHIS,VILLAFLORES,"Villaflores, Chis. SGT*",79
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",256.3
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",90
-92.799722,17.270833,CHIS,ZACATONAL,"Zacatonal de Ju·rez, Chis. SGT*",0.3
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",15.21
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",2
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",0
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",17.01
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",17.51
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",18
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0
-100.920833,25.436111,COAH,ESLCL,"SecretarÌa de Agricultura Saltillo, Coah.",3.2
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",0
