LON,LAT,EDO,CLAVE,ESTACION,oct-22
-103.845833,20.596389,JAL,VEGJL,"Ing. Santiago Camarena, Jal.",35.1
-103.05,22.05,JAL,ZPTJL,"El Zapote, Jal.",32
-102.729444,20.395278,JAL,ZULJL,"Zula rÌo, Jal.",12.75
-99.377222,19.377222,MEX,2RSMX,"Dos RÌos, MÈx.",135
-99.216667,19.566667,MEX,ARBMX,"Las Arboledas, MÈx.",0
-98.912222,19.543611,MEX,ATEMX,"Atenco, MÈx.",68.11
-99.866667,19.783333,MEX,ATPMX,"Atlacomulco Prepa., MÈx.",102.01
-100.436389,18.781111,MEX,BEJMX,"Bejucos, MÈx.",48.5
-99.283333,19.436389,MEX,BOSQUEREAL,"Bosque Real, MÈx. UNAM*",53.12
-99.589444,19.775,MEX,BUFMX,"La ConcepciÛn, MÈx.",19.5
-99.7,19.333333,MEX,CALMX,"Calixtlahuaca, MÈx.",68.33
-99.298611,19.406667,MEX,CDBMX,"CaÌda del Borracho, MÈx.",71.88
-99.298611,19.406667,MEX,CDELBORRACHO,"CaÌda del Borracho, MÈx. SACMEX*",71.88
-99.511667,19.205,MEX,CGCMX,"Gerencia Conagua CODAGEM, MÈx.",55.01
-99.4675,18.795833,MEX,CHDMX,"Colonia Hidalgo, MÈx",54.9
-99.041667,19.593889,MEX,CHICONAUTLAI,"Chiconautla 1, MÈx. SACMEX*",62.73
-99.108333,19.515556,MEX,CHICONAUTLAII,"Chiconautla 2, MÈx. SACMEX*",55.36
-100.152778,19.350556,MEX,CHIMX,"Chilesdo, MÈx.",63.4
-98.884722,19.483333,MEX,CHPMX,"Chapingo, MÈx.",72.9
-99.239444,19.534167,MEX,CLYMX,"Calacoaya, MÈx.",54.2
-99.304444,19.695,MEX,CNPMX,"La ConcepciÛn, MÈx.",34.5
-99.631667,19.292222,MEX,COBMX,"Observatorio de Toluca, MÈx.",97.93
-100.225,19.178889,MEX,COLMX,"Colorines, MÈx.",82.51
-99.559722,19.884722,MEX,DNXMX,"DanxhÛ, MÈx.",116.5
-99.334444,19.383611,MEX,ELVENADO,"El Venado, MÈx. SACMEX*",78.74
-99.238333,19.453611,MEX,EMOMX,"El Molinito RÌo Hondo, MÈx.",40.9
-99.252222,19.635556,MEX,GDLMX,"Sierra de Guadalupe, MÈx.",80
-98.917222,19.578889,MEX,GRDMX,"La Grande, MÈx.",62.7
-99.250833,19.415833,MEX,HERRADURA,"Herradura, MÈx. UNAM*",45.39
-99.696944,20.046389,MEX,HPNMX,"Huapango, MÈx.",88.53
-99.769444,19.5675,MEX,IXCMX,"Ixtlahuaca, MÈx.",40.12
-99.05,19.633333,MEX,K27MX,"km 27+250, MÈx.",47.2
-100.075833,19.383333,MEX,LBEMX,"Los Berros, MÈx.",24.42
-99.220833,19.477778,MEX,MBLMX,"Molino Blanco, MÈx.",23.02
-99.243333,19.473889,MEX,NAUCALPAN,"Naucalpan, MÈx. UNAM*",41.53
-99.683333,19.116667,MEX,NEVMX,"Nevado de Toluca, MÈx. SMN*",55.09
-99.420833,18.990833,MEX,OCUMX,"Ocuil·n de Arteaga, MÈx",69.54
-99.254722,19.429722,MEX,PALMASDF,"Palmas, MÈx. SACMEX*",59.69
-99.184722,19.580833,MEX,PBTMX,"Planta de bombeo Barrientos, MÈx.",54.85
-99.025,19.65,MEX,PCCMX,"Planta Chiconautla 2, MÈx.",55.62
-99.181944,19.743056,MEX,PCGMX,"Puente Colgante, MÈx.",21.53
-99.010278,19.636944,MEX,PCTMX,"Planta Chiconautla 1, MÈx.",62.73
-99.728333,18.928333,MEX,PDZMX,"Porfirio DÌaz, MÈx.",78.01
-99.790278,19.829167,MEX,PFBMX,"Francisco JosÈ Trinidad Fabela, MÈx.",88
-99.775,19.461667,MEX,PIRMX,"Ignacio RamÌrez, MÈx.",108.61
-99.248889,19.429444,MEX,PLMMX,"Palmas, MÈx.",67.81
-99.260833,19.526944,MEX,PMDMX,"MadÌn, MÈx.",54.2
-99.739722,20.124167,MEX,PMNMX,"El Molino, MÈx.",60.52
-99.864444,20.038611,MEX,PNDMX,"—adÛ, MÈx.",63
-99.268056,19.524444,MEX,PREMX,"Presa MadÌçn, MÈx. SMN*",0
-99.283333,19.453611,MEX,PTLMX,"Presa Totolica, MÈx.",61.2
-99.603333,19.213333,MEX,RECMX,"RectorÌa, MÈx.",63.02
-98.911111,19.530556,MEX,SADMX,"San AndrÈs, MÈx.",69.88
-100.304167,19.170278,MEX,SANTOTOMASCFE,"Santo Tom·s, MÈx. CFE*",0
-99.704722,19.465833,MEX,SBBMX,"JosÈ Antonio Alzate, MÈx.",91
-99.764722,19.238333,MEX,SJHMX,"San Juan de las Huertas, MÈx.",99.1
-98.870833,19.190278,MEX,SLAMX,"San Luis Ameca, MÈx.",40.01
-99.741667,19.591667,MEX,SLBMX,"San Bartolo del Llano, MÈx.",36
-99.8,19.633333,MEX,SMLMX,"Santa MarÌa del Llano, MÈx.",154.1
-99.285,19.574444,MEX,SNJMX,"San Juan, MÈx",47
-98.858611,19.644722,MEX,SNLMX,"San Lucas, MÈx.",40.3
-99.799167,19.343056,MEX,TBRMX,"Tres Barrancas, MÈx.",31.2
-99.935833,18.931389,MEX,TESMX,"Texcaltitl·n, MÈx.",60.92
-99.905278,19.856944,MEX,TJCMX,"El Tejocote, MÈx.",57.61
-99.195,19.538611,MEX,TLALNE,"Tlalnepantla, MÈx. UNAM*",27.7
-100.053056,19.058056,MEX,TMSMX,"Temascaltepec, MÈx.",113.96
-99.714167,19.291111,MEX,TOLUCAob,"Observatorio de Toluca, MÈx. SMN*",83.98
-99.283333,19.453889,MEX,TOTMX,"Totolica, MÈx",61.21
-99.961389,19.660833,MEX,TPTMX,"San AndrÈs Tepetitl·n, MÈx.",97.63
-99.6125,19.429167,MEX,TROMX,"Trojes, MÈx.",56.61
-99.283056,19.4525,MEX,TTLMX,"Totolica hidromÈtrica, MÈx.",50.6
-99.123889,19.904722,MEX,TTQMX,"Tajo de Tequixquiac, MÈx",10.51
-99.385278,19.834722,MEX,TXMHD,"Taxhimay, MÈx.",92.02
-99.213611,19.510833,MEX,VASOCRISTO,"Vaso de Cristo, MÈx. SACMEX*",42.42
-100.18,19.2075,MEX,VBRMX,"Valle de Bravo, MÈx.",105.71
-99.211667,19.510278,MEX,VDCDF,"Vaso de Cristo, MÈx.",45.23
-99.334167,19.382222,MEX,VNDMX,"El Venado, MÈx.",78.74
-100.055556,19.461667,MEX,VVCMX,"Villa Victoria, MÈx.",26.81
-100.608889,19.579722,MICH,AGOMC,"Agostitl·n, Mich.",63.6
-101.661111,19.926111,MICH,AMEMC,"Aristeo Mercado, Mich.",56.2
-102.371111,19.083056,MICH,APTMC,"Apatzing·n, Mich.",28.61
-102.419167,20.183889,MICH,BIBMC,"Barraje de Ibarra, Mich.",57.5
-100.891111,18.463333,MICH,CAIMANERACFE,"Caimanera, Mich. CFE*",32.9
-101.461389,20.324167,MICH,CBLMC,"Casa Blanca, Mich.",23.82
-102.265278,19.973611,MICH,CHAMC,"Chaparaco, Mich.",32.5
-100.55,19.7,MICH,CHIMC,"Ciudad Hidalgo, Mich.",115.03
-100.9,18.5,MICH,CMNMC,"Caimanera, Mich.",19.4
-101.259167,19.629722,MICH,COIMC,"CoÌntzio, Mich.",47.81
-101.861667,20.207222,MICH,CORMC,"Corrales, Mich.",11.12
-100.421111,19.387778,MICH,DBOMC,"El Bosque, Mich.",65.81
-100.45,19.966667,MICH,EGIMC,"El Gigante, Mich.",90.1
-102.541389,19.979167,MICH,GUAMC,"Guaracha, Mich.",124.8
-101.883333,18.266667,MICH,INFMC,"Infiernillo, Mich.",22.62
-102.601944,19.958333,MICH,JARMC,"Jaripo, Mich.",116.5
-101.626667,20.248889,MICH,LANMC,"Los ¡ngeles, Mich.",0.2
-102.865556,19.210833,MICH,LOLMC,"Los Olivos, Mich.",19.9
-102.004444,20.354444,MICH,LPDMC,"La Piedad, Mich.",17.32
-102.133333,18.848611,MICH,LPNMC,"Los Panches, Mich.",61.42
-102.2,18.8,MICH,LPSMC,"La PastorÌa, Mich.",34.72
-101.2,18.8,MICH,LPZMC,"Los Pinzanes, Mich.",0
-101.1,19.7,MICH,MCEMC,"Morelia Centro, Mich.",25.43
-102.205833,18.023056,MICH,MLCMC,"Melchor Ocampo L.C., Mich.",28.55
-100.873611,19.829167,MICH,MLPMC,"MalpaÌs, Mich.",36.73
-101.2,19.7,MICH,MNOMC,"Morelia Norte, Mich.",21.73
-101.724444,20.127222,MICH,MOCMC,"Melchor Ocampo, Mich.",55.02
-101.176111,19.688611,MICH,MORMC,"Observatorio de Morelia, Mich.",42.84
-100.439167,19.890833,MICH,MRVMC,"MaravatÌo, Mich.",67
-102.325,19.964167,MICH,ORAMC,"Orandino, Mich.",24.2
-102.221944,18.883333,MICH,PANCHESCFE,"Panches, Mich. CFE*",53.3
